gnd_id,german_name,related_subjects
4224605-2,Fortführung,
4226276-8,Vergleichbarkeit,
4226736-5,Ausstieg,
4229059-4,Rückgang,
4232773-8,Anwendungsbereich,
4234340-9,Indirekte Methode,Methode
4234398-7,Genauigkeit,Gründlichkeit | Präzisierung
4236753-0,Verwechslung,
4239250-0,Wegfall,
4240291-8,Wiederverwendung,
4245395-1,Quantität,
4245403-7,Kriterium,
4247482-6,Beschränkung,
4258354-8,Synthetische Methode,Analytische Methode
4258790-6,Versagen,
4259534-4,Regionale Verteilung,Verteilung
4259535-6,Häufigkeit,
4260074-1,Beseitigung,
4260322-5,Erprobung,
4261304-8,Sperrung,
4264286-3,Zusammenbruch,Auflösung
4264330-2,Korrektion,
4268911-9,Äquivalent,
4270910-6,Vereinheitlichung,Einheitlichkeit
4275659-5,Verwendung,
4281799-7,Festsetzung,
4284643-2,Inaktivierung,
4299722-7,Internationale Verflechtung,Verflechtung
4305127-3,Kürzung,Reduktion
4315031-7,Lückenlosigkeit,
4317087-0,Zweigliedrigkeit,
4317088-2,Dreigliedrigkeit,
4318318-9,Überwindung,
4323168-8,Störfaktor,
4327200-9,Verschwinden,
4328500-4,Erkennung,
4328516-8,Fingierung,Täuschung
7761791-5,Selbststabilisierung,Stabilisierung
7779745-0,Schutzhülle,Hülle
4332404-6,Verhinderung,Prävention
4333947-5,Abschnitt 1,
4333949-9,Abschnitt 2,
4333952-9,Abschnitt 3,
4334087-8,Erreichbarkeit,
4339733-5,Alphabetische Ordnung,Ordnung
4359042-1,Typ A,
4359043-3,Typ B,
4359049-4,Typ C,
4361956-3,Festlegung,
4362503-4,Stufe 1,
4391621-1,Finden,
4391623-5,Wiederfinden,Finden
4403705-3,Nutzlosigkeit,
4404019-2,Abteilung 2,
4405205-4,Ergänzung,
4406078-6,Aufnahme,
4409850-9,Ablieferung,Lieferung
4409920-4,Übernahme,
4418272-7,Flexibilisierung,
4418517-0,Stufe 2,
4418958-8,Synthese,
4426139-1,Klasse 1,
4426142-1,Klasse 2,
4429652-6,Langsamkeit,
4429725-7,Generation 4,
4429726-9,Generation 5,
4430665-9,Fortbestand,
4432424-8,Machbarkeit,
4432539-3,Unterbrechung,
4435883-0,Grad 3,
4436353-9,Zunahme,
4436410-6,Eindringen,
4438961-9,Bereitstellung,
4441661-1,Gründlichkeit,Genauigkeit | Sorgfalt
4441891-7,Ausbringung,
4444536-2,Hilfe,Unterstützung
4447283-3,Verzögerung,
4451062-7,Transformation,
4451716-6,Bistabilität,Stabilität
4452446-8,Typ,
4456788-1,Ausführung,
4460312-5,Vermeidung,
4461619-3,Bestätigung,
4461678-8,Übertragbarkeit,
4461926-1,Reaktivierung,
4466272-5,Phase 1,
4467333-4,Vorverlegung,
4472242-4,Zeitlosigkeit,
4473858-4,Überschreitung,Überquerung
4473972-2,Zuteilung,
4483640-5,Mischform,Form
4486032-8,Verlegung Ortswechsel,
4489426-0,Einmaligkeit,
4490580-4,Häufung,
4491428-3,Kernzone,
4493479-8,Ausrichtung,
4501982-4,Anlass,
4502205-7,Extrembedingung,
4508965-6,Unverzichtbarkeit,
4509185-7,Unvollständigkeit,Vollständigkeit
4509413-5,Weitergabe,
4514600-7,Untauglichkeit,Tauglichkeit
4519326-5,Grobstruktur,Struktur
4522279-4,Typ X,
4550825-2,Durchquerung,
4587621-6,Entfaltung,
4588648-9,Entwertung,
4598570-4,Einsetzung,
4604137-0,Höhepunkt,
4629057-6,Sofortwirkung,Wirkung
4630294-3,Verbundzentrale,Verbund
4649274-4,Freilegung,
4660088-7,Öffnung,
4663830-1,Austauschbarkeit,
4663832-5,Aushöhlung,
4673325-5,Verwertbarkeit,
4673326-7,Vorwegnahme,
4680287-3,Einseitigkeit,
4697378-3,Utensil,Gebrauchsgegenstand
4732669-4,Silhouette,Kontur
4738592-3,Verkleinerung,
4739748-2,Auswahlliste,Liste
4744384-4,Indirektheit,
4833580-0,Nebensächlichkeit,
7500442-2,Nichtinanspruchnahme,Inanspruchnahme
7539326-8,Kritikerin,Kritiker
7557535-8,Abwechslung,
7584070-4,Aufrechterhaltung,
7641838-8,Streichung,
7661561-3,Präzisierung,Genauigkeit
7707654-0,Vorderseite,
7849379-1,Interkantonaler Vergleich,Vergleich
7860064-9,Asynchronität,
106428129X,Inkongruenz,
1127893440,Tagesgeschehen,Zeitgeschehen
1127893475,Zeitgeschehen,Tagesgeschehen
1153230569,Stätte,Ort | Schauplatz | Wirkungsstätte
4000145-3,Abhängigkeit,Abhängiger | Selbstständigkeit | Interdependenz
4000728-5,Aggregation,"Aggregat,Chemie"
4000912-9,Akkumulation,
4002342-4,Antizipation,
4003800-2,Auslese,Auswahl
4003974-2,Autonomie,"Eigenständigkeit | Unabhängigkeit | Heteronomie,Philosophie"
4006432-3,Bibliografie,Verzeichnis | Informationsmittel | Katalog | Literaturbericht | Neuerwerbungsliste | Bibliograf | Bibliografin
4006804-3,Biografie,Biograf | Lebenslauf | Biografik
4013585-8,Effizienz,Wirtschaftlichkeit | Effektivität | Ineffizienz | Produktivität
4015405-1,Erstattung,
4016606-5,Fehler,
4016928-5,Festschrift,Veröffentlichung
4022596-3,Gutachten,Sachverständigenbeweis
4026661-8,Implementation,
4027089-0,Innovation,Fortschritt
4027134-1,Insider,Insidergeschäft
4027238-2,Integration,Eingliederung
4029929-6,Katastrophe,Unfall
4031980-5,Kompensation,
4032312-2,Kontrolle,Überwachung
4032326-2,Konvergenz,
4033203-2,Krise,
4035549-4,Lexikon,Nachschlagewerk
4041070-5,Nachschlagewerk,Informationsmittel
4046235-3,Planung,
4047653-4,Pseudonym,Deckname | Mystifikation
4048476-2,Ratgeber,Anleitung | Einführung
4048561-4,Raum,
4049342-8,Rekord,
4050129-2,Risiko,Wagnis
4050131-0,Risikofaktor,
4051201-0,Sachverständiger,Experte | Weibliche Sachverständige
4051494-8,Sammeln,Sammelobjekt
4054805-3,Sicherstellung,
4056591-9,Spur,
4058716-2,Symbol,Symbolik | Zeichen
4058801-4,System,Systemtheorie
4058900-6,Tagebuch,Autobiografische Literatur | Quelle | Autobiografie | Erlebnisbericht | Reisebericht
4059245-5,Zuverlässigkeit,Menschliches Versagen | Unzuverlässigkeit | Verfügbarkeit
4061232-6,Turbulenz,
4061321-5,Typologie,Typus | Typisierung
4062854-1,Vergrößerung,
4062875-9,Verhandlung,
4065972-0,Wiederholung,
4067461-7,Zeit,Ewigkeit
4067707-2,Zeugnis,
4067889-1,Zitat,
4068050-2,Zufall,Kontingenz
4068097-6,Zukunft,Zeit | Prognose
4068192-0,Zweckbindung,
4068999-2,Ausland,Auslandsaufenthalt
4076308-0,Prävention,Verhinderung
4112646-4,Auswirkung,Rezeption | Fortleben
4112701-8,Bekämpfung,Gegenmaßnahme
4113450-3,Entwicklung,Fortschritt | Entstehung | Evolution
4113500-3,Fachbibliografie,Bibliografie
4114030-8,Instrument,
4114033-3,Intensität,
4114036-9,Interdependenz,Abhängigkeit | Wechselwirkung
4115645-6,Projekt,Modellversuch
4115716-3,Reform,Reformbewegung | Reformer
4117633-9,Werk,
4117713-7,Ziel,
4117724-1,Zitatensammlung,Anthologie
4120499-2,Interessenabwägung,
4120662-9,Leistungsvergleich,Leistungsbewertung
4120725-7,Mehrstufigkeit,
4120814-6,Nutzung,Benutzung
4121138-8,Differenzierung,
4121208-3,Entwurf,Plan | Produktentwicklung | Konstruktion | Konstruieren
4121372-5,Gleichgewicht,Gleichgewichtssinn | Ungleichgewicht
4121550-3,Räumliche Verteilung,
4121560-6,Recherche,Suche | Information Retrieval
4121816-4,Ungleichgewicht,Gleichgewicht
4122317-2,Prognoseentscheidung,
4124564-7,Arbeitsweise,Arbeitstechnik
4125192-1,Belastbarkeit,Tragfähigkeit
4125282-2,Materialschlacht,Schlacht | Abnutzungskampf
4125622-0,Täuschung,Lüge
4125902-6,Schaden,Schädiger
4126032-6,Bezugssystem,
4126111-2,Nationalbibliografie,Bibliografie | Universelle bibliografische Kontrolle
4126116-1,Aufgabe,
4126483-6,Polarität,
4126830-1,Selbstorganisation,Kybernetik | Organisation | Musterbildung | Strukturbildung
4127505-6,Handlungsspielraum,
4127576-7,Defizit,
4127730-2,Schaukasten,
4128128-7,Anpassung,
4128693-5,Fixierung,
4128844-0,Sammlung,Museum
4129056-2,Anonymes Werk,Werk | Anonymus | Verwaistes Werk
4129057-4,Herstellungsdatum,
4129058-6,Streitschrift,Publizistik | Pamphlet | Polemik
4129549-3,Aufgabenanalyse,
4129605-9,Eingliederung,Integration
4129821-4,Invasion,"Operation,Militär"
4129964-4,Bestandserhaltung,
4130470-6,Kongress,Veranstaltung
4130545-0,Autorschaft,Unechtes Werk | Zuschreibung
4130793-8,Grenze,Abgrenzung
4131193-0,Datenauswertung,
4131979-5,Matrikel,
4132330-0,Rhythmus,
4132480-8,Interregionaler Vergleich,Vergleich
4132532-1,Beweis,Begründung | Beweisbarkeit
4132654-4,Boykott,
4132762-7,Ausrüstung,
4133152-7,Synopse,
4133225-8,Time-sharing,
4133251-9,Komponentenanalyse,
4133767-0,Anreiz,
4134364-5,Tonträger,Audiovisuelles Material
4134543-5,Personalbibliografie,Bibliografie
4135023-6,Verflechtung,
4135467-9,Ausstellungskatalog,Katalog
4136065-5,Nichtlineares Phänomen,
4136148-9,Reinheit,Verunreinigung
4136610-4,Persistenz,Perseveration
4137042-9,Risikoanalyse,
4137663-8,Vergabe,
4137814-3,Richtlinie,"Norm,Normung | Direktive"
4138024-1,Periodisierung,Epoche
4138130-0,Generalisierung,Verallgemeinerung
4138430-1,Abgrenzung,Grenze
4138534-2,Benutzer,Besucher | Benutzerin | Kunde | Kundin
4138535-4,Besucher,Benutzer | Besuch
4139212-7,Unbestimmtheit,Unvollkommene Information | Unschärfe
4141079-8,Abonnement,
4141194-8,Abwehr,
4141199-7,Abweichung,
4141451-2,Adressbuch,Verzeichnis | Führer
4141766-5,Aktivität,Handlung
4141965-0,Allgemeinheit,
4142417-7,Angemessenheit,
4142433-5,Angewandte Bibliografie,Bibliografie
4142527-3,Anleitung,Ratgeber | Einführung
4142759-2,Anweisung,Befehl
4142922-9,Arbeitstransparent,Lehrmittel | Audiovisuelles Material | Tageslichtprojektor
4143389-0,Aufgabensammlung,Beispielsammlung | Lehrmittel
4143413-4,Aufsatzsammlung,
4143503-5,Ausdehnung,
4143516-3,Ausführungsbestimmung,Richtlinie
4143618-0,Außenbeziehungen,
4144383-4,Beispiel,
4144384-6,Beispielsammlung,Aufgabensammlung | Formularsammlung | Fallstudiensammlung
4144482-6,Benutzerschulung,Schulung | Anwenderschulung | Kundenschulung | Mitarbeiterschulung
4144609-4,Berechtigungsschein,Ausweis
4144870-4,Beschleunigung,
4144922-8,Bestandsaufnahme,Inventarisierung
4144928-9,Bestandteil,
4144948-4,Bestimmtheit,Determinismus
4144953-8,Besuch,Besucher
4145198-3,Beziehung,Relation
4145395-5,Bildband,Buch | Bildliche Darstellung
4145419-4,Bildliche Darstellung,Bildband
4145590-3,Biobibliografie,Personalbibliografie
4146609-3,Briefsammlung,Quelle
4148875-1,Datensammlung,Tabelle | Statistik
4149208-0,Destabilisierung,
4150167-6,Diskontinuität,Kontinuität
4151179-7,Eigenschaft,Merkmal
4151278-9,Einführung,Anleitung | Ratgeber
4152012-9,Elimination,
4152094-4,Empfehlende Bibliografie,Bibliografie
4152095-6,Empfehlung,
4152140-7,Enchiridion,
4152162-6,Endlosformular,Formular
4152361-1,Entkopplung,
4152377-5,Entnahme,
4152415-9,Entschuldigung,Bitte
4152718-5,Ereignis,
4152745-8,Erforschung,Forschung
4152787-2,Erläuterung,
4152832-3,Erneuerung,Revival
4153488-8,Fachkunde,Schulbuch
4154199-6,Feststellung,
4154943-0,Förderung,Unterstützung
4155034-1,Formularsammlung,Beispielsammlung
4155084-5,Fortschrittsbericht,Literaturbericht | Bibliografie
4155333-0,Freisetzung,
4155569-7,Führer,Adressbuch | Verzeichnis
4155570-3,Führer Person,Führerin
4155776-1,Futurologie,
4156209-4,Gefährdung,
4156285-9,Gegenseitigkeit,
4156614-2,Entstehung,Entwicklung
4157109-5,Gesetzmäßigkeit,
4160799-5,Humoristische Darstellung,Belletristische Darstellung | Karikatur
4161230-9,Idol,Leitbild
4161668-6,Informationsfluss,Kommunikation
4162156-6,Intervention,
4162689-8,Jahrtausendwende,Chiliasmus
4162845-7,Jugendlexikon,Lexikon
4163573-5,Kenntnis,
4164613-7,Koinzidenz,
4165001-3,Konkordanz,Verzeichnis
4165163-7,Kontinuität,Diskontinuität
4167290-2,Leistungsmessung,Leistungsbeurteilung | Leistungsbewertung | Performance Management
4167306-2,Leistungssteigerung,
4167460-1,Letzte Worte,
4167829-1,Liste,
4167870-9,Literaturbericht,Bericht | Bibliografie
4169279-2,Mehrbelastung,Belastung
4169339-5,Mehrzwecknutzung,Nutzung
4169443-0,Mentor,Betreuung | Mentoring | Mentorin
4170199-9,Mitteilung,
4170297-9,Modellierung,
4170304-2,Modellversuch,Projekt
4170992-5,Nachahmung,Fälschung | Original
4171529-9,Netzwerk,Vernetzung
4172760-5,Organisationsleiter,"Organisator,Wirtschaft"
4174084-1,Pflege,
4174997-2,Polemik,Rhetorik | Streitschrift
4177322-6,Referateorgan,Bibliografie | Zeitschrift
4177368-8,Regel,
4177374-3,Regelmäßigkeit,
4177446-2,Registrierung,
4178648-8,Rücknahme,
4180019-9,Schrumpfen,
4180271-8,Schutz,Gegenmaßnahme | Zuflucht
4180487-9,Schwellenwert,
4180694-3,Segmentierung,
4180820-4,Selbstbindung,Festlegung
4181025-9,Sequenz,
4181165-3,Sicherheitskontrolle,Kontrolle
4181249-9,Sigel,Abkürzung
4181605-5,Sitzung,Veranstaltung | Konferenz
4181858-1,Sorgfalt,Gründlichkeit
4182379-5,Spitze,
4183386-7,Stock,
4183787-3,Strukturanalyse,Analyse
4183925-0,Substitution,
4184149-9,Supranationalität,Internationalität
4184335-6,Tafel,Bildliche Darstellung
4184608-4,Teil,
4184643-6,Telefonbuch,Verzeichnis
4184657-6,Telexverzeichnis,
4184755-6,Termin,
4186515-7,Typisierung,Typologie
4186608-3,Überlebensstrategie,
4186793-2,Umwandlung,
4186853-5,Unfallursache,Ursache
4186885-7,Ungleichmäßigkeit,
4186918-7,Universalität,
4186957-6,Unsicherheit,Unvollkommene Information | Partielle Information | Ungewissheit
4187119-4,Unterweisung,
4187522-9,Veranschaulichung,Anschauung
4187631-3,Verdoppelung,
4187713-5,Vergleich,
4187788-3,Verkaufskatalog,Katalog
4188038-9,Versteck,
4188039-0,Verstecken,Versteckspiel
4188040-7,Versteckte Bibliografie,Bibliografie
4188066-3,Verteilungsverfahren,
4188110-2,Verwahrung,Hinterlegung
4188158-8,Verwertung,
4188171-0,Verzeichnis,Führer
4188555-7,Plan,Diagramm
4188638-0,Vorbereitung,
4188685-9,Vormachen,
4188696-3,Vorrang,
4188732-3,Vorteil,Nachteil
4188922-8,Wahlmöglichkeit,Entscheidungsfreiheit
4189152-1,Wartezeit,
4189680-4,Werkverzeichnis,
4189801-1,Widerlegung,
4190592-1,Zeitbestimmung,Befristung
4190602-0,Zeitfaktor,Zeit
4190708-5,Zentrale Einrichtung,Einrichtung
4191159-3,Zusammensetzung,
4191377-2,Zyklus,
4191565-3,Dublette,
4191596-3,Relativität,Relativismus
4192224-4,Trendanalyse,Trend
4193209-2,Unterlegenheit,
4193330-8,Auslastung,
4193818-5,Inland,
4193985-2,Authentizität,Echtheit | Eigentlichkeit
4194170-6,Staatswappenträger,
4194781-2,Format,
4196240-0,Stichtag,
4197653-8,Überbelegung,
4198068-2,Jahresgabe,
4199273-8,Übergabe,
4199446-2,Altbestand,Bestand
4199570-3,Variante,
4200199-7,Synergie,Synergist
4200719-7,Teilung,Verteilung
4200720-3,Popularisierung,
4200802-5,Maßnahme,
4201275-2,Heterogenität,Einheitlichkeit | Verschiedenheit | Homogenität | Variabilität
4201724-5,Wachdienst,Bewachung | Wächter
4203096-1,Rationalprinzip,Rational Choice
4203409-7,Vorläufer,
4205358-4,Korrektur,
4205742-5,Anonymer Brief,Brief
4207950-0,Ablehnung,
4209283-8,Einflussgröße,Messgröße | Störgröße
4210082-3,Subsystem,System | Dekomposition
4215760-2,Medienkombination,
4221408-7,Abhängiger,Abhängigkeit
4221498-1,Selbstkonsistenz,Widerspruchsfreiheit
4221530-4,Kompatibilität,Interoperabilität | Portabilität
4224163-7,Freigabe,
4224214-9,Wirkungsanalyse,
4225076-6,Grobplanung,Planung
4225224-6,Missbilligung,
4225625-2,Rangordnung,
4225695-1,Notizbuch,
4226136-3,Warnung,
4226420-0,Aktualität,
4228729-7,Vermischung,
4230127-0,Situationsanalyse,
4231103-2,Rettung,
4231161-5,Verschönerung,
4232140-2,Gliederungsprinzip,
4232606-0,Verlautbarung,
4232762-3,Gliederung,
4234095-0,Sachverständigenausschuss,Ausschuss | Sachverständiger
4234987-4,Wandel,
4235145-5,Kooperationspartner,
4236708-6,Selbstregulation,Regelung | Regulation | Selbststeuerung
4237707-9,Erkennungszeichen,Zeichen | Wiedererkennen
4238369-9,Aufgabengliederung,Arbeitsorganisation
4240223-2,Korrektheit,
4240298-0,Entwicklungszeit,
4240445-9,Dynamisierung,
4240825-8,Überraschung,
4244988-1,Verlagerung,
4246564-3,Vereinfachung,
4246789-5,Durchsetzung,
4247031-6,Expansion,
4247754-2,Seriennummer,
4248522-8,Periodizität,
4250530-6,Kasuistik,
4250536-7,Leistungsverzeichnis,Leistungsbeschreibung
4251340-6,Selektivität,
4251486-1,Geschäftsstelle,
4253131-7,Beurteilungsmerkmal,Merkmal
4253132-9,Merkmal,Eigenschaft
4253159-7,Natürlichkeit,
4253289-9,Retter,Erlöser
4253354-5,Überlassung,
4253969-9,Jahrhundertwende,
4256161-9,Existenzrecht,
4257311-7,Spaltung,
4258353-6,Größe,
4258863-7,Probe,
4260080-7,Unechtes Werk,Werk | Autorschaft
4261923-3,Grundform,Form
4261985-3,Anhang,
4263519-6,Schwarze Liste,Liste
4264065-9,Überlegenheit,
4264709-5,Kodifizierung,
4265689-8,Trick,Finte
4266420-2,Unwandelbarkeit,Unveränderlichkeit Gottes
4267759-2,Verfeinerung,
4267795-6,Vereinzelung,
4270237-9,Zweckentfremdung,
4272415-6,Auslandsbeziehungen,Außenbeziehungen
4273137-9,Beschädigung,
4273138-0,Schädigung,
4273192-6,Unregelmäßigkeit,
4273334-0,Lockerung,
4274436-2,Anomalie,
4274461-1,Makrostruktur,Struktur
4274903-7,Akkreditierung,Akkreditierungsstelle
4275511-6,Rückständigkeit,
4276213-3,Fehlerverhütung,Qualitätssicherung
4277846-3,Angriffstaktik,Taktik | Angriffssystem
4278768-3,Unveröffentlichte Bibliografie,Bibliografie | Unveröffentlichtes Werk
4280079-1,Mehrfachnutzung,Nutzung | Gemeinschaftliche Nutzung
4280863-7,Einheitlichkeit,Vereinheitlichung | Verschiedenheit | Einheit | Heterogenität
4281853-9,Aufstockung,
4282520-9,Verlauf,
4283068-0,Zuweisung,Zuteilung
4284936-6,Potenzial,
4285138-5,Arrangement,
4286341-7,Leishu,Enzyklopädie
4288960-1,Gleichartigkeit,
4288977-7,Zwischenergebnis,
4289011-1,Treffsicherheit,Genauigkeit | Zielgenauigkeit
4290703-2,Obergrenze,Grenzwert
4293382-1,Überschuss,
4294084-9,Realisierung,
4296704-1,Einsatz,
4296709-0,Begrenzter Einsatz,Einsatz
4297398-3,Gebrauchsspur,
4299400-7,Briefpartner,Briefpartnerin
4299506-1,Partner,Partnerin
4300051-4,Einbindung,
4300430-1,Homogenität,Heterogenität
4301350-8,Grifftechnik,
4301833-6,Einzug,
4303013-0,Gutschein,
4304171-1,Kumulation,
4305278-2,Vorläufigkeit,
4306754-2,Internationale Veranstaltung,Veranstaltung
4307376-1,Zusatzgutachten,Gutachten
4308159-9,Austausch,
4309013-8,Verbesserung,
4312011-8,Rückgabe,
4312811-7,Vielfalt,
4314207-2,Attentismus,
4315185-1,Darstellbarkeit,
4315399-9,Verschiebung,
4315677-0,Abwesenheit,
4315843-2,Nachbesserung,
4315869-9,Allochthon,Autochthon
4317179-5,Versagung,
4317914-9,Nebenwirkung,Komplikation
4319839-9,Autochthon,Allochthon
4319923-9,Kombination,
4322340-0,Vertretung,
4324907-3,Untersuchungsmethode,Methode
4325484-6,Vorleistung,
4325993-5,Zeitpunkt,Zeit
4326471-2,Exemplar,
4326776-2,Entleerung,
4327375-0,Anrechnung,
4327513-8,Vorankündigung,
4327780-9,Sensation,Ereignis
4328261-1,Neugründung,Gründung
4328326-3,Herkunftsnachweis,
4328335-4,Privatsammlung,Sammlung
7502898-0,Abkürzungsverzeichnis,
7503033-0,Bibliobibliographie,
7503034-2,Bibliographie der Bibliographien,
7504295-2,Tonträgerkatalog,
7507772-3,Vorlagensammlung,
7507904-5,Deutsche Fassung,
7507905-7,Deutsche Version,
7761899-3,Schlagwort Diakriten-Testsatz,Diakriten-Testsatz
7776218-6,Partnerin,Partner
7794671-6,Testimonien,Zitatensammlung
4330470-9,Hauptverwaltung,Unternehmensverwaltung | Zentralbereich
4331895-2,Kleinheit,
4332254-2,Vier-Augen-Prinzip,
4333722-3,Formale Methode,Methode
4334871-3,Lebensrettung,Rettung
4334960-2,Bewachung,
4338130-3,Mittelfristige Planung,Planung
4338215-0,Schlag,
4338684-2,Überlappung,
4338947-8,Einweihung,
4339939-3,Beinahe-Unfall,Unfall
4342330-9,Überlänge,Länge
4343459-9,Wächter,Wachdienst | Wächterin
4344018-6,Sammelobjekt,Sammeln
4344516-0,Grundausstattung,
4345674-1,Vernachlässigung,
4348165-6,Fluktuation,
4348652-6,Zwischenfall,
4348929-1,Loch,
4351606-3,Eintrittskarte,
4352534-9,Anhängerschaft,
4352570-2,Wiederherstellung,
4353166-0,Verschleierung,
4354294-3,Plausibilitätsprüfung,
4356599-2,Gemeinschaftliche Nutzung,Nutzung | Mehrfachnutzung
4357300-9,Stabilisierung,
4357931-0,Weltproblematik,
4359141-3,Vernetzung,Netzwerk
4359374-4,Übergröße,Größe
4360452-3,Pool,
4361400-0,Telefaxverzeichnis,Verzeichnis
4363158-7,Dringlichkeit,
4363801-6,Leere,
4367264-4,Testen,
4367346-6,Bequemlichkeit,Luxus
4367613-3,Bitte,
4368704-0,Hindernis,
4373371-2,Sichtbarkeit,
4373819-9,Mittelmäßigkeit,
4374080-7,Verursachung,
4376596-8,Handhabung,Verwendung
4377719-3,Errichtung,
4377721-1,Wiedererrichtung,Errichtung
4382529-1,Unauflöslichkeit,
4383390-1,Verhüllung,
4384198-3,Rendezvous,
4384535-6,Übergangszeit,
4385295-6,Ergebnis,
4390383-6,Quantitatives Merkmal,Merkmal
4391998-4,Voraussetzung,
4391999-6,Mindestvoraussetzung,Voraussetzung
4394788-8,Verlängerung,
4396976-8,Bereitschaft,
4397439-9,Verschickung,
4398837-4,Schriftführer,
4398939-1,Fakultativität,
4402224-4,Generierung,
4405218-2,Ehrenwache,Wachdienst
4411981-1,Vertikale Verteilung,Räumliche Verteilung
4416769-6,Unwürdigkeit,
4418319-7,Langzeit,Dauer
4426210-3,Nachrangigkeit,
4427139-6,Annäherung,
4427661-8,Umkehrbarkeit,
4429727-0,Generation 6,
4432264-1,Verteilung,Teilung
4434311-5,Multifunktionalität,
4434855-1,Neugliederung,Gliederung
4435355-8,Zeitaufwand,
4436269-9,Gleichwertigkeit,Äquivalenz
4436789-2,Dominoeffekt,Kettenreaktion
4438958-9,Grundsatzerklärung,
4440395-1,Nachteil,Vorteil
4441909-0,Schwierigkeitsgrad,
4442471-1,Bestand,
4443806-0,Effizienzsteigerung,
4443917-9,Internationalität,Supranationalität
4443932-5,Markierung,
4445317-6,Gegenmaßnahme,Bekämpfung | Reduktion | Schutz
4447164-6,Katastrophenmanagement,
4449017-3,Profilierung,
4454878-3,Kiepenkerl,Händler
4455064-9,Alternativprojekt,Projekt
4456595-1,Gestaltungsfreiheit,Handlungsspielraum
4456599-9,Gefährlichkeit,
4457984-6,Erwartungslücke,
4460341-1,Internationaler Kongress,Kongress
4461767-7,Weiterentwicklung,Entwicklung
4461772-0,Inspektion,Überprüfung | Zyklische Prüfung
4461851-7,Aufgabenträger,
4461932-7,Irreversibilität,
4466750-4,Pionier,Pionierin
4467047-3,Führerin,"Führer,Person"
4467521-5,Minimum,Extremwert
4467522-7,Maximum,Extremwert
4468345-5,Rückseite,
